gene,pathway
MGP000031,"[('C', 'mitochondrial matrix'), ('C', 'mitochondrion'), ('C', 'nucleus'), ('F', '3 iron, 4 sulfur cluster binding'), ('F', '4 iron, 4 sulfur cluster binding'), ('F', 'aconitate hydratase activity'), ('F', 'iron ion binding'), ('P', 'cellular metabolic process'), ('P', 'citrate metabolic process'), ('P', 'generation of precursor metabolites and energy'), ('P', 'isocitrate metabolic process'), ('P', 'small molecule metabolic process'), ('P', 'tricarboxylic acid cycle')]"
MGP006531,"[('C', 'cytosol'), ('F', 'acetyl-CoA hydrolase activity'), ('F', 'ATP binding'), ('F', 'carboxylic ester hydrolase activity'), ('F', 'lipid binding'), ('P', 'acetyl-CoA metabolic process'), ('P', 'acyl-CoA metabolic process'), ('P', 'fatty acid metabolic process'), ('P', 'pyruvate metabolic process')]"
MGP004082,"[('C', 'mitochondrion'), ('C', 'peroxisomal matrix'), ('F', 'acyl-CoA hydrolase activity'), ('F', 'carboxylic ester hydrolase activity'), ('F', 'choloyl-CoA hydrolase activity'), ('F', 'medium-chain acyl-CoA hydrolase activity'), ('F', 'palmitoyl-CoA hydrolase activity'), ('F', 'receptor binding'), ('P', 'acyl-CoA metabolic process'), ('P', 'alpha-linolenic acid metabolic process'), ('P', 'bile acid biosynthetic process'), ('P', 'bile acid metabolic process'), ('P', 'cellular lipid metabolic process'), ('P', 'dicarboxylic acid catabolic process'), ('P', 'fatty acid beta-oxidation using acyl-CoA oxidase'), ('P', 'peroxisome fission'), ('P', 'small molecule metabolic process'), ('P', 'unsaturated fatty acid metabolic process'), ('P', 'viral process')]"
MGP003480,"[('C', 'peroxisomal matrix'), ('C', 'peroxisome'), ('F', '3alpha,7alpha,12alpha-trihydroxy-5beta-cholestanoyl-CoA 24-hydroxylase activity'), ('F', 'acyl-CoA dehydrogenase activity'), ('F', 'acyl-CoA oxidase activity'), ('F', 'flavin adenine dinucleotide binding'), ('F', 'pristanoyl-CoA oxidase activity'), ('F', 'receptor binding'), ('P', 'bile acid biosynthetic process'), ('P', 'bile acid metabolic process'), ('P', 'cellular lipid metabolic process'), ('P', 'fatty acid beta-oxidation using acyl-CoA oxidase'), ('P', 'small molecule metabolic process')]"
MGP003481,"[('C', 'membrane'), ('C', 'mitochondrion'), ('C', 'peroxisomal matrix'), ('C', 'peroxisome'), ('F', 'acyl-CoA dehydrogenase activity'), ('F', 'flavin adenine dinucleotide binding'), ('F', 'pristanoyl-CoA oxidase activity'), ('F', 'receptor binding'), ('P', 'cellular lipid metabolic process'), ('P', 'fatty acid beta-oxidation using acyl-CoA oxidase'), ('P', 'small molecule metabolic process')]"
MGP000032,"[('C', 'cytoplasm'), ('C', 'cytoplasmic side of plasma membrane'), ('C', 'extracellular vesicular exosome'), ('F', 'acid phosphatase activity'), ('F', 'non-membrane spanning protein tyrosine phosphatase activity')]"
MGP000033,"[('C', 'cytosol'), ('C', 'extracellular vesicular exosome'), ('C', 'integral component of membrane'), ('C', 'lysosome'), ('F', 'acid phosphatase activity'), ('F', 'ferric iron binding'), ('F', 'ferrous iron binding'), ('P', 'bone morphogenesis'), ('P', 'bone resorption'), ('P', 'defense response to Gram-positive bacterium'), ('P', 'negative regulation of inflammatory response'), ('P', 'negative regulation of interleukin-12 production'), ('P', 'negative regulation of interleukin-1 beta production'), ('P', 'negative regulation of nitric oxide biosynthetic process'), ('P', 'negative regulation of superoxide anion generation'), ('P', 'negative regulation of tumor necrosis factor production'), ('P', 'response to cytokine'), ('P', 'response to lipopolysaccharide'), ('P', 'riboflavin metabolic process'), ('P', 'small molecule metabolic process'), ('P', 'vitamin metabolic process'), ('P', 'water-soluble vitamin metabolic process')]"
MGP000030,"[('C', 'acrosomal matrix'), ('C', 'extracellular region'), ('C', 'Golgi-associated vesicle'), ('C', 'nucleus'), ('C', 'protein complex'), ('F', 'amidase activity'), ('F', 'copper ion binding'), ('F', 'DNA binding'), ('F', 'drug binding'), ('F', 'fucose binding'), ('F', 'mannose binding'), ('F', 'serine-type endopeptidase activity'), ('F', 'zinc ion binding'), ('P', 'acrosome matrix dispersal'), ('P', 'acrosome reaction'), ('P', 'activation of adenylate cyclase activity'), ('P', 'binding of sperm to zona pellucida'), ('P', 'multicellular organism reproduction'), ('P', 'response to steroid hormone'), ('P', 'single fertilization')]"
MGP001026,"[('C', 'endoplasmic reticulum membrane'), ('C', 'integral component of membrane'), ('C', 'membrane'), ('C', 'mitochondrial outer membrane'), ('C', 'mitochondrion'), ('C', 'peroxisomal membrane'), ('C', 'plasma membrane'), ('F', 'ATP binding'), ('F', 'long-chain fatty acid-CoA ligase activity'), ('P', 'adiponectin-activated signaling pathway'), ('P', 'alpha-linolenic acid metabolic process'), ('P', 'cellular lipid metabolic process'), ('P', 'linoleic acid metabolic process'), ('P', 'lipid biosynthetic process'), ('P', 'long-chain fatty acid import'), ('P', 'long-chain fatty acid metabolic process'), ('P', 'long-chain fatty-acyl-CoA biosynthetic process'), ('P', 'positive regulation of protein serine/threonine kinase activity'), ('P', 'response to drug'), ('P', 'response to nutrient'), ('P', 'response to oleic acid'), ('P', 'response to organic cyclic compound'), ('P', 'small molecule metabolic process'), ('P', 'triglyceride biosynthetic process'), ('P', 'unsaturated fatty acid metabolic process'), ('P', 'xenobiotic catabolic process')]"
MGP001027,"[('C', 'endoplasmic reticulum'), ('C', 'endoplasmic reticulum membrane'), ('C', 'Golgi apparatus'), ('C', 'integral component of membrane'), ('C', 'lipid particle'), ('C', 'membrane'), ('C', 'mitochondrial outer membrane'), ('C', 'perinuclear region of cytoplasm'), ('C', 'peroxisomal membrane'), ('F', 'ATP binding'), ('F', 'long-chain fatty acid-CoA ligase activity'), ('F', 'protein domain specific binding'), ('F', 'protein kinase binding'), ('P', 'brain development'), ('P', 'fatty acid biosynthetic process'), ('P', 'long-chain fatty acid import'), ('P', 'long-chain fatty acid metabolic process'), ('P', 'positive regulation of Golgi to plasma membrane protein transport'), ('P', 'positive regulation of phosphatidylcholine biosynthetic process'), ('P', 'positive regulation of secretion'), ('P', 'response to nutrient'), ('P', 'response to organic cyclic compound'), ('P', 'very-low-density lipoprotein particle assembly')]"
MGP001028,"[('C', 'cytoplasm'), ('C', 'endoplasmic reticulum membrane'), ('C', 'ER-mitochondrion membrane contact site'), ('C', 'extracellular vesicular exosome'), ('C', 'integral component of membrane'), ('C', 'lipid particle'), ('C', 'membrane'), ('C', 'mitochondrial outer membrane'), ('C', 'neuronal cell body'), ('C', 'peroxisomal membrane'), ('F', 'arachidonate-CoA ligase activity'), ('F', 'ATP binding'), ('F', 'long-chain fatty acid-CoA ligase activity'), ('F', 'very long-chain fatty acid-CoA ligase activity'), ('P', 'cellular lipid metabolic process'), ('P', 'dendritic spine development'), ('P', 'embryonic process involved in female pregnancy'), ('P', 'fatty acid transport'), ('P', 'lipid biosynthetic process'), ('P', 'lipid metabolic process'), ('P', 'long-chain fatty acid metabolic process'), ('P', 'long-chain fatty-acyl-CoA biosynthetic process'), ('P', 'negative regulation of prostaglandin secretion'), ('P', 'positive regulation of cell growth'), ('P', 'response to interleukin-15'), ('P', 'response to nutrient'), ('P', 'small molecule metabolic process'), ('P', 'triglyceride biosynthetic process')]"
MGP005237,"[('C', 'endoplasmic reticulum'), ('C', 'endoplasmic reticulum membrane'), ('C', 'integral component of membrane'), ('C', 'membrane'), ('C', 'mitochondrial inner membrane'), ('C', 'mitochondrial outer membrane'), ('C', 'mitochondrion'), ('C', 'nucleolus'), ('C', 'nucleus'), ('F', 'ATP binding'), ('F', 'long-chain fatty acid-CoA ligase activity'), ('P', 'cellular lipid metabolic process'), ('P', 'long-chain fatty acid metabolic process'), ('P', 'long-chain fatty-acyl-CoA biosynthetic process'), ('P', 'regulation of extrinsic apoptotic signaling pathway'), ('P', 'small molecule metabolic process'), ('P', 'triglyceride biosynthetic process')]"
MGP004630,"[('C', 'endoplasmic reticulum membrane'), ('C', 'integral component of membrane'), ('C', 'membrane'), ('C', 'mitochondrial outer membrane'), ('C', 'nucleus'), ('C', 'peroxisomal membrane'), ('C', 'plasma membrane'), ('F', 'ATP binding'), ('F', 'enzyme binding'), ('F', 'long-chain fatty acid-CoA ligase activity'), ('F', 'protein homodimerization activity'), ('P', 'acyl-CoA metabolic process'), ('P', 'cellular lipid metabolic process'), ('P', 'cellular response to insulin stimulus'), ('P', 'fatty acid transport'), ('P', 'long-chain fatty acid metabolic process'), ('P', 'long-chain fatty-acyl-CoA biosynthetic process'), ('P', 'neuroblast proliferation'), ('P', 'neuron development'), ('P', 'phospholipid biosynthetic process'), ('P', 'positive regulation of neuron projection development'), ('P', 'positive regulation of plasma membrane long-chain fatty acid transport'), ('P', 'positive regulation of triglyceride biosynthetic process'), ('P', 'response to gravity'), ('P', 'response to hypoxia'), ('P', 'response to nutrient'), ('P', 'response to steroid hormone'), ('P', 'small molecule metabolic process'), ('P', 'triglyceride biosynthetic process')]"
MGP006367,"[('C', 'blood microparticle'), ('C', 'extracellular vesicular exosome'), ('C', 'mitochondrial matrix'), ('F', 'acyl-CoA ligase activity'), ('F', 'ATP binding'), ('F', 'butyrate-CoA ligase activity'), ('F', 'fatty acid ligase activity'), ('F', 'GTP binding'), ('F', 'metal ion binding'), ('P', 'benzoate metabolic process'), ('P', 'butyrate metabolic process'), ('P', 'cholesterol homeostasis'), ('P', 'energy derivation by oxidation of organic compounds'), ('P', 'fatty acid biosynthetic process'), ('P', 'fatty acid oxidation'), ('P', 'small molecule metabolic process'), ('P', 'xenobiotic metabolic process')]"
MGP006443,"[('C', 'mitochondrial matrix'), ('C', 'mitochondrion'), ('F', 'ATP binding'), ('F', 'butyrate-CoA ligase activity'), ('F', 'metal ion binding'), ('P', 'fatty acid metabolic process'), ('P', 'glucose homeostasis'), ('P', 'medium-chain fatty-acyl-CoA metabolic process'), ('P', 'triglyceride homeostasis')]"
MGP007047,"[('C', 'mitochondrial matrix'), ('C', 'mitochondrion'), ('F', 'ATP binding'), ('F', 'butyrate-CoA ligase activity'), ('F', 'metal ion binding'), ('P', 'fatty acid metabolic process'), ('P', 'small molecule metabolic process'), ('P', 'xenobiotic metabolic process')]"
MGP007018,"[('C', 'mitochondrial matrix'), ('F', 'ATP binding'), ('F', 'butyrate-CoA ligase activity'), ('F', 'fatty-acyl-CoA synthase activity'), ('F', 'metal ion binding'), ('P', 'acyl-CoA metabolic process'), ('P', 'fatty acid metabolic process')]"
